waypoint1	waypoint2	distance_m	duration_s
p12	p1	5021425	0
p1	p9	6758153	0
p13	p9	10997117	0
p19	p12	12571505	0
p1	p7	15443448	0
p16	p17	12370573	0
p18	p9	11017420	0
p8	p15	14959815	0
p19	p6	7002047	0
p14	p17	11927538	0
p10	p5	889927	0
p11	p13	3140890	0
p7	p16	15367267	0
p19	p17	532094	0
p2	p4	13635119	0
p0	p13	7388593	0
p2	p19	14236228	0
p2	p7	15259375	0
p19	p5	11079531	0
p13	p1	6253928	0
p8	p7	766220	0
p12	p6	4545198	0
p3	p8	10371772	0
p8	p16	6779392	0
p18	p15	10806377	0
p18	p17	7665702	0
p7	p4	9712862	0
p0	p5	7610116	0
p19	p1	232466	0
p14	p15	13207280	0
p11	p15	5127053	0
p0	p17	13177687	0
p1	p17	10999378	0
p9	p7	15092001	0
p12	p15	8266446	0
p8	p6	1069505	0
p3	p12	4942783	0
p2	p1	5473801	0
p9	p4	12536813	0
p18	p8	9903555	0
p11	p1	6349809	0
p15	p16	10891436	0
p14	p6	5543410	0
p12	p5	7477557	0
p0	p1	424924	0
p11	p17	13138691	0
p2	p15	12613467	0
p11	p8	15040197	0
p6	p16	10724459	0
p10	p9	15369451	0
p8	p12	4960780	0
p13	p6	4650084	0
p2	p6	11000154	0
p18	p12	15578961	0
p16	p4	15814140	0
p6	p15	2340935	0
p19	p9	12359147	0
p13	p15	7008030	0
p6	p5	15752361	0
p9	p14	5156032	0
p11	p7	5482046	0
p15	p5	12982112	0
p13	p17	8517288	0
p11	p4	5147308	0
p8	p5	12261952	0
p8	p14	9184630	0
p18	p11	15806417	0
p2	p8	9162065	0
p2	p13	10153646	0
p13	p4	10038365	0
p0	p16	15208687	0
p9	p5	14144411	0
p1	p14	8928229	0
p1	p5	13580249	0
p0	p12	5079979	0
p8	p9	8323950	0
p3	p5	12825460	0
p17	p5	10068295	0
p2	p14	8817290	0
p13	p14	15723226	0
p9	p17	12278329	0
p8	p13	3470053	0
p14	p4	15508881	0
p18	p1	8080054	0
p10	p3	8698867	0
p3	p6	14034690	0
p19	p16	10754989	0
p11	p9	4555623	0
p19	p15	2137110	0
p3	p4	10067571	0
p0	p8	8648735	0
p10	p12	10116838	0
p4	p17	15238541	0
p10	p8	14789635	0
p12	p14	12265371	0
p8	p1	13122414	0
p9	p15	9343065	0
p12	p7	3227747	0
p11	p19	2532805	0
p1	p4	11961878	0
p9	p16	2217230	0
p19	p0	14234097	0
p3	p11	9914247	0
p1	p16	9867885	0
p3	p1	4238057	0
p11	p5	3667296	0
p11	p6	2000195	0
p8	p4	11293962	0
p0	p15	15213558	0
p18	p4	7411528	0
p19	p8	10786336	0
p10	p15	6663403	0
p2	p10	12934563	0
p2	p16	15298931	0
p14	p16	12188829	0
p6	p4	11128958	0
p18	p13	9999573	0
p12	p9	3236779	0
p11	p0	3737039	0
p3	p14	14040963	0
p12	p16	1944129	0
p6	p7	13850991	0
p19	p7	4580096	0
p3	p16	6401497	0
p8	p17	12386211	0
p3	p7	4305747	0
p4	p5	5540801	0
p13	p7	9753418	0
p7	p17	3862733	0
p12	p13	11940316	0
p3	p19	5546846	0
p2	p17	9048481	0
p14	p7	13060830	0
p10	p13	651036	0
p6	p17	6919407	0
p10	p17	13013346	0
p16	p5	12598536	0
p2	p18	3011736	0
p13	p16	3888395	0
p3	p13	10728892	0
p1	p6	13244802	0
p13	p5	7411346	0
p0	p7	14710035	0
p18	p3	9908970	0
p18	p16	15476493	0
p12	p4	2537167	0
p10	p7	10840101	0
p19	p14	10856877	0
p10	p16	12702252	0
p3	p9	4126976	0
p2	p12	1369843	0
p3	p0	8694044	0
p10	p14	9917191	0
p0	p14	8246527	0
p11	p16	2512788	0
p3	p15	405367	0
p14	p5	4050680	0
p15	p17	2820621	0
p3	p17	2274715	0
p2	p5	1636936	0
p10	p1	4709644	0
p10	p18	13302735	0
p15	p4	7246501	0
p12	p17	15072627	0
p18	p0	9215	0
p7	p5	1170491	0
p0	p9	8889264	0
p18	p5	8805825	0
p7	p15	7382623	0
p0	p4	15657285	0
p18	p14	1823518	0
p10	p4	1769562	0
p2	p9	12488007	0
p10	p19	12640390	0
p10	p0	1619608	0
p10	p6	6556462	0
p2	p11	11904062	0
p0	p6	13618588	0
p18	p7	5291520	0
p9	p6	973834	0
p11	p14	14951569	0
p18	p6	7891821	0
p18	p19	2898888	0
p19	p13	7654230	0
p2	p0	1803216	0
p11	p12	863059	0
p10	p11	14304279	0
p1	p15	6487651	0
p19	p4	15450965	0
p2	p3	8170167	0
